Data Engineer (f/m/x),Amorelie,"Berlin, Berlin, Deutschland",SQL,Analytical Skills,Computer Science,Apache Spark,Easily Adaptable,Teamwork,Design,Data Processing,Analytics
Data Engineer - Berlin,iFindTech Ltd,"Berlin Area, Germany",Data Engineering,NoSQL,Java,Apache Spark,Hadoop,Big Data,Akka,Scala
Data Engineer (m/f/d),Munich Re (Group),"München, Bayern, Deutschland",SQL,System Development,SQL Server Reporting Services (SSRS),Analytical Skills,Insurance,Exploratory Data Analysis,Data Analysis,Data Integration,Data Analytics,"Extract, Transform, Load (ETL)"
Data Engineer,Zero to One Search | Recruitment Agency,"Nuremberg, Bavaria, Germany",Cloud Services,Internet of Things (IoT),Azure Data Factory,Denodo Platform,Data Mining,Azure IoT,Big Data,Data Lakes,Amazon Web Services (AWS),Azure Databricks
Data Engineer,g2 Recruitment Solutions,Stuttgart Region,Semiconductors,Test Development,Data Analytics,Measurements,Team Leadership,Data Science,Business Intelligence (BI),Analytics,Data Warehousing
Data Engineer,Glocomms,"Berlin, Germany",Data Engineering,American Welding Society (AWS),Data Visualization,Data Analytics,Data Mining,Microsoft Azure,Data Infrastructure,Business Intelligence (BI),Analytics,Airflow
Data Engineer,ICIS,"Karlsruhe, Baden-Württemberg, Germany",English,Python (Programming Language),SQL,Analytical Skills,Writing,XML,Problem Solving,Leadership,Data Modeling,German
Senior Account Executive,Syncsort,"Munich, Bavaria, Germany",Cloud Computing,Channel Partners,Managed Services,Pre-sales,Data Integration,Architecture,High Availability,Microsoft Dynamics CRM,Data Quality,Professional Services
Senior Data Engineer - Kafka / Spark / AWS / Java (f/m/d),Holidu,"München, Bayern, Deutschland",iOS,PostgreSQL,Computer Science,Docker Products,ElasticSearch,Jenkins,Amazon Web Services (AWS),Apache,Analytics
Data Engineer,ICIS,"Karlsruhe, Baden-Württemberg, Germany",English,Python (Programming Language),SQL,Analytical Skills,Writing,XML,Problem Solving,Leadership,Data Modeling,German
Data Engineer,Glocomms,"Berlin, Germany",Data Engineering,American Welding Society (AWS),Data Visualization,Data Analytics,Data Mining,Microsoft Azure,Data Infrastructure,Business Intelligence (BI),Analytics,Airflow
Program Manager (m/w/d) Polymere Optics,JENOPTIK,"Jena, Thüringen, Deutschland",International Project Management,Innovation Management,Product Life Cycle,Injection Molding,Optimization,Polymers,Leadership,Presentations,Marketing,Project Management
Data Engineer,ING,"Amsterdam Area, Netherlands",Data Engineering,Python (Programming Language),Ceph,Apache Spark,Kubernetes,Docker Products,Apache Kafka,Scala,Openshift,React.js
Senior Research Engineer for Artificial Intelligence & Machine Learning (f/m/x),BMW Group,"Munich Area, Germany",Mathematics,Research,Analytical Skills,Creative Work,Apache Spark,Artificial Intelligence (AI),Machine Learning,Software Development,Creativity Skills,Data Science
DATA SCIENCE FRANKFURT,Management Solutions,Frankfurt Rhine-Main Metropolitan Area,Mathematics,Computer Literacy,Artificial Intelligence (AI),Hadoop,Machine Learning,SAS,Programming,Big Data,Data Science,R
Lead Data Engineer,Houston Analytics Ltd,Helsinki Metropolitan Area,Data Engineering,SQL,Teradata,Data Architecture,Hadoop,Data Mining,API Development,Big Data,Amazon Web Services (AWS),Scripting
Data Engineer ,Arden Resourcing Limited,"Edinburgh, Scotland, United Kingdom",Mathematics,Statistics,Python (Programming Language),SQL,Analytical Skills,Java,Computer Science,Graduate Level,Databases,Data Management
Senior Big Data Engineer (95),Mojio,"300 Orchard City Dr, Campbell, California 95008",Cloud Computing,Internet of Things (IoT),Apache Spark,Software as a Service (SaaS),Representational State Transfer (REST),Hadoop,Big Data,Microsoft Azure,AWS CloudFormation,Amazon Web Services (AWS)
Data Engineer,Highsnobiety,"Berlin, Berlin, Germany",Data Engineering,Data Visualization,SQL,Google Cloud Platform (GCP),Google BigQuery,Looker (Software),"Extract, Transform, Load (ETL)",Amazon Redshift,Amazon Web Services (AWS),Data Warehousing
Data Engineer,Harnham,"London, United Kingdom",Python (Programming Language),Analytical Skills,Apache Spark,Hadoop,Machine Learning,Data Mining,Big Data,Data Science,Analytics
Data Engineer,Alldus,"Berlin Area, Germany",Data Engineering,NoSQL,Analytical Skills,Berkeley Software Distribution (BSD),Computer Science,Machine Learning,Data Mining,Big Data,Linux,Analytics
Senior Scala Engineer (m/f/x),commercetools,"Berlin, Berlin, Deutschland",Functional Programming,International Environment,English,RESTful architecture,Teamwork,Scala
Data Engineer Analytics (m/f/d),MediaMarktSaturn,"Munich Area, Germany",SAP BusinessObjects,Python (Programming Language),SQL,Java,Google Cloud Platform (GCP),Agile Methodologies,IT Management,Data Modeling,German,Analytics
FREELANCE BIOINFORMATICIAN DATA SCIENTIST | Life Science industry,EyeTech Solutions,"Antwerp, Flemish Region, Belgium",Bioinformatics,Python (Programming Language),Data Visualization,Life Sciences,Lua,Statistical Data Analysis,Decision Trees,Pharmaceutical Industry,Data Science,Algorithms
QA Test Analyst,SumUp,"Berlin Area, Germany",Mobile Application Development,User Scenarios,Exploratory Testing,Python (Programming Language),Analytical Skills,Internet of Things (IoT),Control Systems Design,User Requirements,Hardware Testing,Scripting
Senior Software Engineer - Python/GO,Harnham,"Région de Paris, France",English,Python (Programming Language),NoSQL,Start-ups,Strategy,Data Science,Algorithms,Data Management
International Business Operations Consultant (m/ f/ d),"Metabolon, Inc.","Munich, Bavaria, Germany",Salesforce.com,Customer Relationship Management (CRM),Sales Operations
Storage Engineer,HCL Technologies,"Frankfurt, Hesse, Germany",Manuals,English,SRM,Communication,Systems Management,Backup Solutions,Presentations,Cooperation,Brocade,Consulting
Data Engineer,Cuvva,"London, United Kingdom",PostgreSQL,Analytical Skills,Data Analysis,Data Analytics,"Extract, Transform, Load (ETL)",Databases,MongoDB,Data Modeling,Data Processing,Data Warehousing
Senior Big Data Engineer (M/F/D),Joyn GmbH,"Munich Area, Germany",Over-the-Top Content (OTT),Python (Programming Language),Java,Engineering,Continuous Integration and Continuous Delivery (CI/CD),Scala,Live Streaming,Amazon Web Services (AWS),VOD
